,PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare
PassengerId,1.0,-0.018854234728849832,-0.023439633158084387,0.009795036826692166,-0.058058633502004395,0.02576637820751312,0.003116009896056718
Survived,-0.018854234728849888,1.0,-0.2898079189924029,-0.1999304012212205,-0.09449701787369574,0.07274939952356663,0.06941079698778105
Pclass,-0.02343963315808387,-0.28980791899240266,1.0,-0.3330711122836557,0.06921765619809636,0.08250369314177904,-0.5188662452639125
Age,0.00979503682669125,-0.19993040122122033,-0.33307111228365616,1.0,-0.16455431309658647,-0.07791277027538358,-0.030690978527891627
SibSp,-0.05805863350200253,-0.09449701787369663,0.06921765619809606,-0.16455431309658713,1.0,0.35804213657834894,0.1498797643791134
Parch,0.025766378207514602,0.07274939952356553,0.0825036931417787,-0.0779127702753833,0.3580421365783486,1.0,0.17986163250413148
Fare,0.003116009896057077,0.06941079698778184,-0.5188662452639122,-0.030690978527891485,0.14987976437911396,0.17986163250413123,1.0
